n°;clasificacion;cuartel;fecha;dia;hora;delito;direccion;dir_com;latitud;longitud;este (x);norte (y);cuadrante;dir_com
75;DENUNCIA;RETÉN SANTA FE;22-02-2022;MARTES;17:30;ROBO EN LUGAR NO HABITADO;ESCUELA F-933 & SECTOR VIRQUENCO  Los Ángeles  Biobio  Chile;;-37.4677244;-72.5000731;721082.202;5850304.369;11;
76;DENUNCIA;RETÉN SANTA FE;25-02-2022;VIERNES;4:45;ROBO EN LUGAR NO HABITADO;CAMINO LAS TRANCAS KM. 10 & SECTOR LAS QUINTAS  Los Ángeles  Biobio  Chile;;-37.460462;-72.3758886;732088.949;5850811.309;11;
77;DETENCION;RETÉN SANTA FE;26-02-2022;SABADO;15:27;ROBO EN LUGAR NO HABITADO;4-FUNDO EL ENSUEÑO RUTA Q-180  Los Ángeles  Biobio  Chile;;-37.4629159;-72.3612251;733378.465;5850502.734;11;
78;DENUNCIA;RETÉN CANTERAS;21-02-2022;LUNES;7:00;ROBO EN LUGAR NO HABITADO;99-RUTA Q-59  Los Ángeles  Biobio  Chile;;-37.4629159;-72.3612251;733378.465;5850502.734;QUILLECO;
79;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;22-02-2022;MARTES;0:10;ROBO VIOLENTO DE VEHÍCULO MOTORIZADO;AVENIDA NELTUME & AVENIDA EL AROMO  Los Ángeles  Biobio  Chile;;-37.4678405;-72.3864009;731136.287;5850018.371;5;
80;DENUNCIA;RETÉN SANTA FE;24-02-2022;JUEVES;23:40;ROBO VIOLENTO DE VEHÍCULO MOTORIZADO;14-RUTA Q-530  Los Ángeles  Biobio  Chile;;-37.546851;-72.4891957;721809.878;5841498.036;11;
81;;1RA. COM. LOS ANGELES;28-02-2022;LUNES;10:00;ROBO DE ACCESORIOS DE VEHICULOS;244-COLO COLO  Los Ángeles  Biobio  Chile;;-37.4693715;-72.3487688;734460.1517;5849755.374;1;
82;;1RA. COM. LOS ANGELES;01-03-2022;MARTES;12:40;ROBO DE ACCESORIOS DE VEHICULOS;0320-AVDA RICARDO VICUÑA  Los Ángeles  Biobio  Chile;;-37.4720651;-72.3435171;734916.2326;5849443.358;3;
83;;1RA. COM. LOS ANGELES;01-03-2022;MARTES;21:20;ROBO DE ACCESORIOS DE VEHICULOS;450-ALMAGRO  Los Ángeles  Biobio  Chile;;-37.4686696;-72.3496764;734382.067;5849835.527;1;
84;;1RA. COM. LOS ANGELES;01-03-2022;MARTES;22:45;ROBO DE ACCESORIOS DE VEHICULOS;LAUTARO & VALDIVIA  Los Ángeles  Biobio  Chile;;-37.4703888;-72.3523928;734136.4296;5849651.504;1;
